ReferenceDate,BookCode,CategoryCode,AverageRating,CountRating,idReadingFact,RankingNumber,RankingVolume
201607,9789461956507,0,5.00,1,1,15,2743
201607,9789461956507,0,0.00,0,2,15,2743
201202,9788599905487,0,0.00,0,3,13,1792
201201,9788599905487,0,0.00,0,4,19,1373
201009,9788599818084,0,0.00,0,5,18,516
201010,9788599818084,0,0.00,0,6,19,476
201204,9788599560532,0,0.00,0,7,16,1801
201205,9788599560532,0,0.00,0,8,12,3822
201104,9788599560518,0,0.00,0,9,14,1824
201105,9788599560518,0,0.00,0,10,12,2493
201011,9788599296851,0,0.00,0,11,5,4549
201010,9788599296851,0,0.00,0,12,6,4628
201012,9788599296851,0,0.00,0,13,11,9120
201101,9788599296851,0,0.00,0,14,18,1847
201011,9788599296851,1,0.00,0,15,11,4549
201010,9788599296851,1,0.00,0,16,16,4628
201011,9788599296554,1,0.00,0,17,10,2790
201010,9788599296554,1,0.00,0,18,9,3482
201106,9788599296554,1,0.00,0,19,14,3294
201012,9788599296554,1,0.00,0,20,10,9655
201107,9788599296554,1,0.00,0,21,15,2281
201101,9788599296554,1,0.00,0,22,13,3297
201102,9788599296554,1,0.00,0,23,11,2193
201103,9788599296554,1,0.00,0,24,19,1305
201009,9788599296554,1,0.00,0,25,6,2753
201110,9788599296363,1,0.00,0,26,3,6454
201010,9788599296363,1,0.00,0,27,2,10695
201012,9788599296363,1,0.00,0,28,1,30195
201103,9788599296363,1,0.00,0,29,2,10344
201106,9788599296363,1,0.00,0,30,4,8670
201211,9788599296363,1,0.00,0,31,19,1592
201210,9788599296363,1,0.00,0,32,13,3632
201111,9788599296363,1,0.00,0,33,7,7955
201104,9788599296363,1,0.00,0,34,5,8055
201107,9788599296363,1,0.00,0,35,6,6764
201109,9788599296363,1,0.00,0,36,7,7664
201101,9788599296363,1,0.00,0,37,2,12298
201108,9788599296363,1,0.00,0,38,2,9077
201105,9788599296363,1,0.00,0,39,8,8290
201110,9788599296363,1,0.00,0,40,7,6454
201103,9788599296363,1,0.00,0,41,1,10344
201102,9788599296363,1,0.00,0,42,1,8852
201112,9788599296363,1,0.00,0,43,12,11017
201009,9788599296363,1,0.00,0,44,5,8792
201201,9788599296363,1,0.00,0,45,9,6260
201209,9788599296363,1,0.00,0,46,17,1778
201207,9788599296363,1,0.00,0,47,13,3981
201202,9788599296363,1,0.00,0,48,10,5178
201203,9788599296363,1,0.00,0,49,13,3918
201208,9788599296363,1,0.00,0,50,14,3110
201302,9788599296363,1,0.00,0,51,16,3453
201109,9788599296363,1,0.00,0,52,4,7664
201104,9788599296363,1,0.00,0,53,1,8055
201105,9788599296363,1,0.00,0,54,3,8290
201009,9788599296363,1,0.00,0,55,2,8792
201204,9788599296363,1,0.00,0,56,11,2448
201011,9788599296363,1,0.00,0,57,5,9742
201301,9788599296363,1,0.00,0,58,12,2734
201501,9788599296363,1,0.00,0,59,19,1147
201012,9788599296363,1,0.00,0,60,4,30195
201205,9788599296363,1,0.00,0,61,15,2611
201106,9788599296363,1,0.00,0,62,8,8670
201101,9788599296363,1,0.00,0,63,4,12298
201010,9788599296363,1,0.00,0,64,6,10695
201107,9788599296363,1,0.00,0,65,9,6764
201212,9788599296363,1,0.00,0,66,13,8323
201111,9788599296363,1,0.00,0,67,14,7955
201011,9788599296363,1,0.00,0,68,2,9742
201108,9788599296363,1,0.00,0,69,6,9077
201102,9788599296363,1,0.00,0,70,2,8852
201106,9788599296158,1,0.00,0,71,3,11927
201108,9788599296158,1,0.00,0,72,11,7718
201110,9788599296158,1,0.00,0,73,5,4617
201105,9788599296158,1,0.00,0,74,2,13278
201107,9788599296158,1,0.00,0,75,3,8965
201109,9788599296158,1,0.00,0,76,12,5984
201108,9788599296158,1,0.00,0,77,4,7718
201111,9788599296158,1,0.00,0,78,14,5272
201104,9788599296158,1,0.00,0,79,12,5724
201112,9788599296158,1,0.00,0,80,16,6061
201105,9788599296158,1,0.00,0,81,1,13278
201201,9788599296158,1,0.00,0,82,17,3380
201109,9788599296158,1,0.00,0,83,6,5984
201104,9788599296158,1,0.00,0,84,5,5724
201106,9788599296158,1,0.00,0,85,5,11927
201103,9788599296158,1,0.00,0,86,18,1779
201107,9788599296158,1,0.00,0,87,4,8965
201110,9788599296158,1,0.00,0,88,17,4617
201102,9788598254036,1,0.00,0,89,19,317
201109,9788598254036,1,0.00,0,90,19,501
201101,9788598254036,1,0.00,0,91,16,269
201101,9788598078946,5,0.00,0,92,16,5024
201011,9788598078946,5,0.00,0,93,2,2709
201010,9788598078946,5,0.00,0,94,5,919
201012,9788598078946,5,0.00,0,95,1,13454
